"movie_title","duration","director_name","director_facebook_likes","actor_1_name","actor_1_facebook_likes","actor_2_name","actor_2_facebook_likes","actor_3_name","actor_3_facebook_likes","num_critic_for_reviews","num_user_for_reviews","num_voted_users","cast_total_facebook_likes","movie_facebook_likes","plot_keywords","facenumber_in_poster","color","genres","title_year","language","country","content_rating","aspect_ratio","movie_imdb_link","gross","budget","imdb_score"
"The Smurfs 2 ",105,"Raja Gosnell",67,"Jacob Tremblay",681,"Nancy O'Dell",71,"Vanessa Matsui",40,125,59,27257,914,0,"based on cartoon|box office hit|no opening credits|sequel|smurf",3,"Color","Adventure|Animation|Comedy|Family|Fantasy",2013,"English","USA","PG",1.85,"http://www.imdb.com/title/tt2017020/?ref_=fn_tt_tt_1",71017784,1.05e+08,5.4
"Aliens in the Attic ",86,"John Schultz",13,"Malese Jow",1000,"Carter Jenkins",701,"Tim Meadows",553,82,55,16580,3423,916,"alien|attic|boyfriend|mind control|nintendo ds",3,"Color","Adventure|Comedy|Family|Fantasy|Sci-Fi",2009,"English","USA","PG",1.85,"http://www.imdb.com/title/tt0775552/?ref_=fn_tt_tt_1",25200412,4.5e+07,5.4
"Blades of Glory ",93,"Josh Gordon",8,"Will Ferrell",8000,"Amy Poehler",1000,"Jon Heder",970,191,246,129995,13232,0,"competition|fight|ice|jock strap|nintendo game boy advance",2,"Color","Comedy|Sport",2007,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0445934/?ref_=fn_tt_tt_1",118153533,6.1e+07,6.3
"American Pie ",95,"Paul Weitz",80,"Alyson Hannigan",3000,"Shannon Elizabeth",1000,"Natasha Lyonne",1000,145,789,315549,8134,0,"1990s|first love|milf|prom|virginity",6,"Color","Comedy",1999,"English","USA","R",1.85,"http://www.imdb.com/title/tt0163651/?ref_=fn_tt_tt_1",101736215,1.1e+07,7
"Hope Floats ",114,"Forest Whitaker",0,"Bill Cobbs",970,"Harry Connick Jr.",631,"Gena Rowlands",545,65,162,18973,2860,0,"best friend|friend|mother daughter relationship|small town|texas",1,"Color","Drama|Romance",1998,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0119313/?ref_=fn_tt_tt_1",60033780,3e+07,5.9
"The Departed ",151,"Martin Scorsese",17000,"Leonardo DiCaprio",29000,"Matt Damon",13000,"Ray Winstone",1000,352,2054,873649,45648,29000,"boston|mole|police|undercover|undercover cop",0,"Color","Crime|Drama|Thriller",2006,"English","USA","R",2.35,"http://www.imdb.com/title/tt0407887/?ref_=fn_tt_tt_1",132373442,9e+07,8.5
"The Hunt ",115,"Thomas Vinterberg",346,"Thomas Bo Larsen",74,"Alexandra Rapaport",69,"Hana Shuan",26,349,249,170155,216,60000,"deer|gun|gunshot|hunt|kindergarten teacher",1,"Color","Drama",2012,"Danish","Denmark","R",2.35,"http://www.imdb.com/title/tt2106476/?ref_=fn_tt_tt_1",610968,3800000,8.3
"Dogma ",130,"Kevin Smith",0,"Matt Damon",13000,"Janeane Garofalo",1000,"George Carlin",769,206,1015,181737,16693,10000,"abortion|abortion clinic|angel|church|clinic",8,"Color","Adventure|Comedy|Drama|Fantasy",1999,"English","USA","R",2.35,"http://www.imdb.com/title/tt0120655/?ref_=fn_tt_tt_1",30651422,1e+07,7.4
"Children of Men ",109,"Alfonso Cuarón",0,"Charlie Hunnam",16000,"Danny Huston",430,"Rita Davies",18,372,1206,361767,16479,17000,"chaos|england|long take|survival|violence",0,"Color","Drama|Sci-Fi|Thriller",2006,"English","USA","R",1.85,"http://www.imdb.com/title/tt0206634/?ref_=fn_tt_tt_1",35286428,7.6e+07,7.9
"Failure to Launch ",95,"Tom Dey",9,"Bradley Cooper",14000,"Matthew McConaughey",11000,"Zooey Deschanel",11000,143,242,58412,37967,2000,"friend|intervention|moving|secret|slacker",2,"Color","Comedy|Romance",2006,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0427229/?ref_=fn_tt_tt_1",88658172,5e+07,5.6
"Money Monster ",98,"Jodie Foster",0,"Julia Roberts",8000,"Jack O'Connell",698,"Chris Bauer",638,268,103,19611,10894,0,"death|hostage|money|shot in the chest|shot in the heart",1,"Color","Crime|Drama|Thriller",2016,"English","USA","R",2.35,"http://www.imdb.com/title/tt2241351/?ref_=fn_tt_tt_1",41008532,2.7e+07,6.7
"Slow Burn ",93,"Wayne Beach",7,"Mekhi Phifer",1000,"LL Cool J",1000,"Fisher Stevens",922,40,24,3299,4329,191,"district attorney|interview|murder|prosecutor|reporter",0,"Color","Drama|Mystery|Thriller",2005,"English","USA","R",1.85,"http://www.imdb.com/title/tt0376196/?ref_=fn_tt_tt_1",1181197,15500000,5.9
"The Joneses ",96,"Derrick Borte",17,"Demi Moore",2000,"Gary Cole",989,"Robert Pralgo",688,144,88,33473,4607,0,"envy|fake family|gadget|materialism|unhappy marriage",4,"Color","Comedy|Drama",2009,"English","USA","R",2.35,"http://www.imdb.com/title/tt1285309/?ref_=fn_tt_tt_1",1474508,5e+06,6.5
"Bolt ",96,"Byron Howard",59,"Chloë Grace Moretz",17000,"Diedrich Bader",759,"James Lipton",699,225,178,146766,20007,0,"cat|dog|hamster|new york city|superpower",0,"Color","Adventure|Animation|Comedy|Drama|Family",2008,"English","USA","PG",1.85,"http://www.imdb.com/title/tt0397892/?ref_=fn_tt_tt_1",114053579,1.5e+08,6.9
"Me and Orson Welles ",107,"Richard Linklater",0,"Zoe Kazan",962,"Aidan McArdle",266,"James Tupper",240,160,69,9264,1591,0,"high school|mercury theatre|opening night|school|theatre",3,"Color","Drama",2008,"English","UK","PG-13",2.35,"http://www.imdb.com/title/tt1175506/?ref_=fn_tt_tt_1",1186957,2.5e+07,6.8
"The Assassination of Jesse James by the Coward Robert Ford ",160,"Andrew Dominik",181,"Brad Pitt",11000,"Jeremy Renner",10000,"Sam Shepard",820,273,415,136104,22516,0,"long title|outlaw|robbery|train|train robbery",0,"Color","Biography|Crime|Drama|History|Western",2007,"English","USA","R",2.35,"http://www.imdb.com/title/tt0443680/?ref_=fn_tt_tt_1",3904982,3e+07,7.5
"Bridget Jones: The Edge of Reason ",108,"Beeban Kidron",17,"Colin Firth",14000,"Jim Broadbent",1000,"Celia Imrie",186,143,259,74315,15634,0,"american actress playing british character|intern|prison|six word title|thailand",1,"Color","Comedy|Drama|Romance",2004,"English","UK","R",2.35,"http://www.imdb.com/title/tt0317198/?ref_=fn_tt_tt_1",40203020,4e+07,5.9
"Next Stop Wonderland ",104,"Brad Anderson",122,"Philip Seymour Hoffman",22000,"Callie Thorne",472,"Holland Taylor",458,38,86,4195,23461,392,"love|marine biologist|nurse|personal ad|plumber",1,"Color","Comedy|Drama|Romance",1998,"English","USA","R",1.85,"http://www.imdb.com/title/tt0119778/?ref_=fn_tt_tt_1",3386698,1e+06,6.7
"Seeking a Friend for the End of the World ",101,"Lorene Scafaria",63,"Steve Carell",7000,"Mark Moses",353,"Rob Huebel",172,265,221,87203,7747,25000,"candle|end of the world|letter|record|road trip",2," Black and White","Adventure|Comedy|Drama|Romance|Sci-Fi",2012,"English","USA","R",2.35,"http://www.imdb.com/title/tt1307068/?ref_=fn_tt_tt_1",6619173,1e+07,6.7
"I Am Sam ",132,"Jessie Nelson",24,"Dianne Wiest",967,"Loretta Devine",912,"Richard Schiff",506,129,431,121937,3152,15000,"child custody|custody battle|disability|mentally impaired man|single father",0,"Color","Drama",2001,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0277027/?ref_=fn_tt_tt_1",40270895,2.2e+07,7.6
"Arthur Christmas ",97,"Sarah Smith",6,"Jim Broadbent",1000,"Imelda Staunton",579,"Michael Palin",561,190,78,35446,2707,0,"christmas|christmas eve|elf|high tech|resentment",1,"Color","Adventure|Animation|Comedy|Family|Fantasy",2011,"English","UK","PG",1.85,"http://www.imdb.com/title/tt1430607/?ref_=fn_tt_tt_1",46440491,1e+08,7.1
"The Good Night ",93,"Jake Paltrow",17,"Stephen Graham",1000,"Gael Le Cornec",165,"Keith Allen",66,50,39,7519,1245,445,"commercial|dream|dreaming|girl|new york city",1,"Color","Comedy|Drama|Fantasy|Music|Romance",2007,"English","USA","R",1.85,"http://www.imdb.com/title/tt0484111/?ref_=fn_tt_tt_1",20380,1.5e+07,5.9
"The Sticky Fingers of Time ",81,"Hilary Brougher",0,"James Urbaniak",119,"Samantha Buck",24,"Terumi Matthews",5,8,7,336,154,67,"future|nonlinear timeline|time travel|title directed by female|writer",0," Black and White","Sci-Fi",1997,"English","USA","",1.85,"http://www.imdb.com/title/tt0127302/?ref_=fn_tt_tt_1",18195,250000,6.3
"Jimmy Neutron: Boy Genius ",82,"John A. Davis",8,"Martin Short",770,"Rob Paulsen",677,"Andrea Martin",179,66,118,23943,2251,425,"alien|boy genius|children|genius|rescue",0,"Color","Action|Adventure|Animation|Comedy|Family|Sci-Fi",2001,"English","USA","G",1.85,"http://www.imdb.com/title/tt0268397/?ref_=fn_tt_tt_1",80920948,3e+07,6
"Sideways ",126,"Alexander Payne",729,"Virginia Madsen",912,"Patrick Gallagher",306,"M.C. Gainey",284,285,835,149966,2170,0,"actor|california|teacher|wine|writer",0,"Color","Adventure|Comedy|Drama|Romance",2004,"English","USA","R",1.85,"http://www.imdb.com/title/tt0375063/?ref_=fn_tt_tt_1",71502303,1.2e+07,7.5
"Sorority Boys ",93,"Wallace Wolodarsky",32,"Heather Matarazzo",529,"Barry Watson",526,"Harland Williams",503,53,105,12007,2393,507,"college|cruise|drag|female armpit hair|sorority",3,"Color","Comedy",2002,"English","USA","R",1.85,"http://www.imdb.com/title/tt0279781/?ref_=fn_tt_tt_1",10198766,1.2e+07,5.4
"Halloween ",101,"John Carpenter",0,"Jamie Lee Curtis",2000,"Donald Pleasence",742,"P.J. Soles",598,318,1191,157857,4400,12000,"halloween|masked killer|michael myers|slasher|trick or treat",0,"Color","Horror|Thriller",1978,"English","USA","R",2.35,"http://www.imdb.com/title/tt0077651/?ref_=fn_tt_tt_1",47000000,3e+05,7.9
"Domestic Disturbance ",89,"Harold Becker",17,"Steve Buscemi",12000,"Teri Polo",708,"Matt O'Leary",303,98,190,21283,13390,361,"amateur detective|boat builder|boy|stepfather|witness",1,"Color","Crime|Mystery|Thriller",2001,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0249478/?ref_=fn_tt_tt_1",45207112,5.3e+07,5.5
"Madea's Family Reunion ",107,"Tyler Perry",0,"Boris Kodjoe",1000,"Cicely Tyson",907,"Blair Underwood",685,46,137,8962,5264,676,"cross dressing|family reunion|madea series|reflective|sister sister relationship",4,"Color","Comedy|Drama|Romance",2006,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0455612/?ref_=fn_tt_tt_1",63231524,6e+06,5
"Beowulf ",115,"Robert Zemeckis",0,"Robin Wright",18000,"Anthony Hopkins",12000,"Sebastian Roché",964,287,505,142440,31523,3000,"creature|demon|king|reward|warrior",1,"Color","Action|Adventure|Animation|Fantasy",2007,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0442933/?ref_=fn_tt_tt_1",82161969,1.5e+08,6.3
"The Ninth Gate ",133,"Roman Polanski",2000,"Johnny Depp",40000,"Frank Langella",903,"Lena Olin",541,172,638,137722,42344,0,"bare butt|gnosticism|lucifer|rare book|sex",1,"Color","Mystery|Thriller",1999,"English","Spain","R",2.35,"http://www.imdb.com/title/tt0142688/?ref_=fn_tt_tt_1",18653746,3.8e+07,6.7
"Titan A.E. ",94,"Don Bluth",383,"Matt Damon",13000,"Janeane Garofalo",1000,"Nathan Lane",886,131,377,52244,15857,0,"alien|captain|escape|pilot|scientist",0,"Color","Action|Adventure|Animation|Family|Sci-Fi",2000,"English","USA","PG",2.35,"http://www.imdb.com/title/tt0120913/?ref_=fn_tt_tt_1",22751979,7.5e+07,6.6
"The Lord of the Rings: The Fellowship of the Ring ",171,"Peter Jackson",0,"Christopher Lee",16000,"Orlando Bloom",5000,"Billy Boyd",857,297,5060,1238746,22342,21000,"elf|hobbit|middle earth|quest|ring",2,"Color","Action|Adventure|Drama|Fantasy",2001,"English","New Zealand","PG-13",2.35,"http://www.imdb.com/title/tt0120737/?ref_=fn_tt_tt_1",313837577,9.3e+07,8.8
"Iron Man 2 ",124,"Jon Favreau",4000,"Robert Downey Jr.",21000,"Scarlett Johansson",19000,"Jon Favreau",4000,453,723,522371,48638,18000,"hammer|military|monaco|revenge|tony stark",4,"Color","Action|Adventure|Sci-Fi",2010,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt1228705/?ref_=fn_tt_tt_1",312057433,2e+08,7
"Spotlight ",128,"Tom McCarthy",310,"Billy Crudup",745,"Jamey Sheridan",168,"Brian d'Arcy James",77,474,409,195333,1058,80000,"cover up|investigation|journalist|newspaper|sexual abuse",2,"Color","Biography|Crime|Drama|History",2015,"English","USA","R",1.85,"http://www.imdb.com/title/tt1895587/?ref_=fn_tt_tt_1",44988180,2e+07,8.1
"Anastasia ",94,"Don Bluth",383,"Kirsten Dunst",4000,"Kelsey Grammer",808,"Bernadette Peters",753,78,191,86347,6017,0,"amnesia|reference to anastasia romanov|romanov|russia|russian revolution",1,"Color","Adventure|Animation|Drama|Family|Fantasy|Musical|Mystery|Romance",1997,"English","USA","G",2.35,"http://www.imdb.com/title/tt0118617/?ref_=fn_tt_tt_1",58297830,5e+07,7.1
"The Eye ",92,"David Moreau",0,"Chloë Grace Moretz",17000,"Alessandro Nivola",527,"Obba Babatundé",451,172,156,44130,18765,0,"cellular memory|eye|eye transplant|seeing dead people|violinist",1,"Color","Horror|Mystery",2008,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0406759/?ref_=fn_tt_tt_1",31397498,1.2e+07,5.4
"Invaders from Mars ",100,"Tobe Hooper",365,"Louise Fletcher",425,"Bud Cort",394,"William Bassett",225,52,64,5187,1661,902,"alien|boy|nurse|school|school nurse",0,"Color","Horror|Sci-Fi",1986,"English","USA","PG",2.35,"http://www.imdb.com/title/tt0091276/?ref_=fn_tt_tt_1",4884663,1.2e+07,5.5
"Lost in Space ",130,"Stephen Hopkins",81,"Gary Oldman",10000,"William Hurt",882,"June Lockhart",427,102,370,58402,12186,0,"based on tv series|remake|robot|scientist|spaceship",0,"Color","Action|Adventure|Family|Sci-Fi|Thriller",1998,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0120738/?ref_=fn_tt_tt_1",69102910,8e+07,5.1
"Starsky & Hutch ",101,"Todd Phillips",480,"Snoop Dogg",881,"Carmen Electra",869,"Fred Williamson",767,173,308,120795,3943,0,"cocaine|cop|criminal|partner|police",5,"Color","Comedy|Crime",2004,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0335438/?ref_=fn_tt_tt_1",88200225,6e+07,6.1
"Johnny English Reborn ",101,"Oliver Parker",32,"Daniel Kaluuya",219,"Tim McInnerny",141,"Togo Igawa",104,152,142,89568,661,17000,"assassin|chinese|conspiracy|gadget|premier",1,"Color","Action|Adventure|Comedy|Crime",2011,"English","USA","PG",2.35,"http://www.imdb.com/title/tt1634122/?ref_=fn_tt_tt_1",8129455,4.5e+07,6.3
"Along Came a Spider ",104,"Lee Tamahori",93,"Morgan Freeman",11000,"Billy Burke",2000,"Monica Potter",878,133,317,59232,17109,0,"kidnapping|partner|ransom|school|secret service",0,"Color","Crime|Drama|Thriller",2001,"English","USA","R",2.35,"http://www.imdb.com/title/tt0164334/?ref_=fn_tt_tt_1",74058698,6e+07,6.3
"Burlesque ",119,"Steve Antin",59,"Eric Dane",2000,"Peter Gallagher",828,"David Walton",676,197,222,61680,4315,19000,"burlesque|dancer|iowa|small town girl|stage",1,"Color","Drama|Music|Musical|Romance",2010,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt1126591/?ref_=fn_tt_tt_1",39440655,5.5e+07,6.4
"Stuart Little ",84,"Rob Minkoff",50,"Chazz Palminteri",979,"Nathan Lane",886,"Jeffrey Jones",692,101,179,94172,3382,0,"box office hit|cat|first part|mouse|orphanage",0,"Color","Adventure|Comedy|Family|Fantasy",1999,"English","Germany","PG",1.85,"http://www.imdb.com/title/tt0164912/?ref_=fn_tt_tt_1",140015224,1.33e+08,5.9
"Remember Me ",113,"Allen Coulter",47,"Robert Pattinson",21000,"Lena Olin",541,"Ruby Jerins",238,158,361,113963,22088,24000,"binge drinking|new york|new york city|september 11 2001|suicide",0,"Color","Drama|Romance",2010,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt1403981/?ref_=fn_tt_tt_1",19057024,1.6e+07,7.2
"The Simpsons Movie ",87,"David Silverman",30,"Albert Brooks",745,"Yeardley Smith",440,"Marcia Wallace",433,299,763,259083,3086,0,"alaska|dome|lake|pig|the simpsons",0,"Color","Adventure|Animation|Comedy",2007,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0462538/?ref_=fn_tt_tt_1",183132370,7.5e+07,7.4
"Hero ",80,"Yimou Zhang",611,"Jet Li",5000,"Tony Chiu Wai Leung",643,"Maggie Cheung",576,283,841,149414,6229,0,"china|flying|king|palace|sword",4," Black and White","Action|Adventure|History",2002,"Mandarin","China","PG-13",2.35,"http://www.imdb.com/title/tt0299977/?ref_=fn_tt_tt_1",84961,3.1e+07,7.9
"Blue Ruin ",90,"Jeremy Saulnier",57,"Devin Ratray",1000,"Eve Plumb",235,"Amy Hargreaves",92,279,135,42678,1528,0,"blood splatter|car|neo noir|vengeance|vomiting",0,"Color","Crime|Drama|Thriller",2013,"English","USA","R",2.35,"http://www.imdb.com/title/tt2359024/?ref_=fn_tt_tt_1",258113,1066167,7.1
"Mystic River ",138,"Clint Eastwood",16000,"John Doman",616,"Spencer Treat Clark",541,"Tom Guiry",262,229,935,338415,1942,12000,"ballistics|detective|friend|gun|sexual abuse",0,"Color","Crime|Drama|Mystery|Thriller",2003,"English","USA","R",2.35,"http://www.imdb.com/title/tt0327056/?ref_=fn_tt_tt_1",90135191,2.5e+07,8
"Inherent Vice ",148,"Paul Thomas Anderson",0,"Martin Dew",204,"Katherine Waterston",178,"Serena Scott Thomas",175,401,242,61935,707,18000,"1960s|based on novel|ex boyfriend ex girlfriend relationship|southern california|voice over narration",0,"Color","Comedy|Crime|Drama|Mystery|Romance",2014,"English","USA","R",1.85,"http://www.imdb.com/title/tt1791528/?ref_=fn_tt_tt_1",8093318,2e+07,6.7
"La otra conquista ",106,"Salvador Carrasco",22,"Elpidia Carrillo",174,"Zaide Silvia Gutiérrez",16,"Damián Delgado",10,39,494,1024,222,140,"1520s|aztec|indian|spanish colonization|spanish conquest",0,"Color","Drama|History",1998,"Spanish","Mexico","R",1.85,"http://www.imdb.com/title/tt0175996/?ref_=fn_tt_tt_1",886410,3500000,6.8
"Buffalo '66 ",110,"Vincent Gallo",787,"Anjelica Huston",1000,"Vincent Gallo",787,"Jan-Michael Vincent",642,106,318,36657,4762,0,"shower|stripper|tap dancing|underwear|undressing",2,"Color","Comedy|Crime|Drama|Romance",1998,"English","USA","R",1.85,"http://www.imdb.com/title/tt0118789/?ref_=fn_tt_tt_1",2365931,1500000,7.5
"Australia ",165,"Baz Luhrmann",1000,"Essie Davis",309,"Bryan Brown",284,"Eddie Baroo",165,245,450,102338,921,0,"australia|cattle|darwin|drover|japanese",0,"Color","Adventure|Drama|Romance|War",2008,"English","Australia","PG-13",2.35,"http://www.imdb.com/title/tt0455824/?ref_=fn_tt_tt_1",49551662,1.3e+08,6.6
"She's the Man ",105,"Andy Fickman",99,"Channing Tatum",17000,"Alexandra Breckenridge",1000,"Laura Ramsey",960,91,261,116762,20109,0,"disguise|roommate|school|soccer|twin",0,"Color","Comedy|Romance",2006,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0454945/?ref_=fn_tt_tt_1",33687630,2e+07,6.4
"Jesus' Son ",107,"Alison Maclean",7,"Billy Crudup",745,"Samantha Morton",631,"Mark Webber",442,74,87,6221,2125,500,"hospital|love|mennonite|shower|song",1,"Color","Drama",1999,"English","USA","R",2.35,"http://www.imdb.com/title/tt0186253/?ref_=fn_tt_tt_1",1282084,2500000,7
"George Washington ",90,"David Gordon Green",234,"Paul Schneider",552,"Eddie Rouse",61,"Damian Jewan Lee",15,75,76,6246,642,451,"cover up|north carolina|redemption|small town|teenager",0,"Color","Drama",2000,"English","USA","Unrated",2.35,"http://www.imdb.com/title/tt0262432/?ref_=fn_tt_tt_1",241816,42000,7.5
"The Illusionist ",110,"Neil Burger",168,"Rufus Sewell",3000,"Eddie Marsan",979,"Jake Wood",96,236,645,295375,4210,15000,"duchess|illusionist|magician|prince|supernatural power",3,"Color","Drama|Mystery|Romance|Thriller",2006,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0443543/?ref_=fn_tt_tt_1",39825798,1.6e+07,7.6
"Lara Croft: Tomb Raider ",100,"Simon West",165,"Angelina Jolie Pitt",11000,"Noah Taylor",509,"Chris Barrie",240,199,824,157016,12150,0,"illuminati|planetary alignment|time|tomb|tomb raider",1,"Color","Action|Adventure|Fantasy|Thriller",2001,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0146316/?ref_=fn_tt_tt_1",131144183,1.15e+08,5.7
"Enemy at the Gates ",131,"Jean-Jacques Annaud",218,"Bob Hoskins",5000,"Gabriel Thomson",35,"Clemens Schick",29,187,662,188887,5103,0,"battle|german|russian|sniper|stalingrad",1,"Color","Drama|History|War",2001,"English","USA","R",2.35,"http://www.imdb.com/title/tt0215750/?ref_=fn_tt_tt_1",51396781,6.8e+07,7.6
"Crash ",115,"Paul Haggis",549,"Don Cheadle",3000,"Loretta Devine",912,"Jennifer Esposito",911,287,1624,361169,5732,18000,"race relations|racism|racist|social problem|stereotype",0,"Color","Crime|Drama|Thriller",2004,"English","Germany","R",2.35,"http://www.imdb.com/title/tt0375679/?ref_=fn_tt_tt_1",54557348,6500000,7.9
"District 9 ",112,"Neill Blomkamp",662,"Sharlto Copley",2000,"Jed Brophy",433,"Jason Cope",107,472,1262,531737,2639,22000,"alien|ghetto|prawn|refugee|refugee camp",0,"Color","Action|Sci-Fi|Thriller",2009,"English","South Africa","R",1.85,"http://www.imdb.com/title/tt1136608/?ref_=fn_tt_tt_1",115646235,3e+07,8
"Star Trek II: The Wrath of Khan ",116,"Nicholas Meyer",120,"Leonard Nimoy",12000,"Kirstie Alley",980,"Nichelle Nichols",664,148,359,91414,16539,0,"jamming communications|planet|space station|taunt|trap",2,"Color","Action|Adventure|Sci-Fi",1982,"English","USA","PG",2.35,"http://www.imdb.com/title/tt0084726/?ref_=fn_tt_tt_1",78900000,1.1e+07,7.7
"Four Rooms ",110,"Allison Anders",99,"Salma Hayek",4000,"Alicia Witt",975,"Lili Taylor",960,51,177,78241,7921,0,"bellhop|coven|gangster|hotel|new year's eve",6,"Color","Comedy|Fantasy",1995,"English","USA","R",1.85,"http://www.imdb.com/title/tt0113101/?ref_=fn_tt_tt_1",4301331,4e+06,6.7
"Dear Wendy ",102,"Thomas Vinterberg",346,"Michael Angarano",947,"Chris Owen",526,"William Hootkins",488,100,58,9003,2572,532,"gang|gun|loner|love|outcast",0,"Color","Comedy|Crime|Drama|Romance",2004,"English","Italy","Unrated",1.66,"http://www.imdb.com/title/tt0342272/?ref_=fn_tt_tt_1",23106,5e+07,6.6
"Oliver! ",153,"Carol Reed",82,"Oliver Reed",695,"Ron Moody",275,"Jack Wild",139,56,138,25303,1593,0,"abuse|child|orphan|orphanage|pickpocket",1,"Color","Drama|Family|Musical",1968,"English","UK","G",2.35,"http://www.imdb.com/title/tt0063385/?ref_=fn_tt_tt_1",16800000,1e+07,7.5
"The Whole Ten Yards ",98,"Howard Deutch",41,"Bruce Willis",13000,"Matthew Perry",2000,"Natasha Henstridge",900,74,112,45775,18085,462,"dentist|face slap|flashback|hitman|killing an animal",5,"Color","Comedy|Crime|Thriller",2004,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0327247/?ref_=fn_tt_tt_1",16323969,4e+07,5.5
"Butch Cassidy and the Sundance Kid ",110,"George Roy Hill",131,"Katharine Ross",640,"Ted Cassidy",566,"Kenneth Mars",399,130,309,152089,2169,0,"bolivia|gang|outlaw|posse|train",1,"Color","Biography|Crime|Drama|Western",1969,"English","USA","M",2.35,"http://www.imdb.com/title/tt0064115/?ref_=fn_tt_tt_1",102308900,6e+06,8.1
"Mr. & Mrs. Smith ",126,"Doug Liman",218,"Brad Pitt",11000,"Angelina Jolie Pitt",11000,"Stephanie March",322,233,798,348861,22722,0,"assassin|marriage|secret agent|suburb|target",2,"Color","Action|Comedy|Crime|Romance|Thriller",2005,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0356910/?ref_=fn_tt_tt_1",186336103,1.2e+08,6.5
"Our Brand Is Crisis ",107,"David Gordon Green",234,"Dominic Flores",1000,"Zoe Kazan",962,"Scoot McNairy",660,125,50,11476,3944,0,"bolivia|box office flop|inspired by documentary|presidential campaign|year 2002",2,"Color","Comedy|Drama",2015,"English","USA","R",1.85,"http://www.imdb.com/title/tt1018765/?ref_=fn_tt_tt_1",6998324,2.8e+07,6.1
"The Merchant of Venice ",131,"Michael Radford",53,"Al Pacino",14000,"Mackenzie Crook",871,"Kris Marshall",548,117,161,29715,16252,0,"debt|jew|loan|merchant|pound of flesh",3,"Color","Drama|Romance",2004,"English","USA","R",2.35,"http://www.imdb.com/title/tt0379889/?ref_=fn_tt_tt_1",3752725,1.8e+07,7.1
"Dark City ",111,"Alex Proyas",295,"Rufus Sewell",3000,"William Hurt",882,"Bruce Spence",531,222,624,156929,4696,14000,"memory|murder|neo noir|retrofuturism|tech noir",1,"Color","Action|Drama|Fantasy|Mystery|Sci-Fi|Thriller",1998,"English","Australia","R",2.35,"http://www.imdb.com/title/tt0118929/?ref_=fn_tt_tt_1",14337579,2.7e+07,7.7
"Remember Me, My Love ",125,"Gabriele Muccino",125,"Laura Morante",60,"Silvio Muccino",29,"Giulia Michelini",11,36,21,3548,132,282,"box office hit|dancer|sex scene|television|underage sex",1,"Color","Comedy|Drama|Romance",2003,"Italian","Italy","R",2.35,"http://www.imdb.com/title/tt0323807/?ref_=fn_tt_tt_1",223878,5e+06,6.5
"Stop-Loss ",112,"Kimberly Peirce",108,"Joseph Gordon-Levitt",23000,"Channing Tatum",17000,"Abbie Cornish",2000,143,99,17757,43560,982,"friendship|honor|iraq war|soldier|texas",2,"Color","Drama|War",2008,"English","USA","R",1.85,"http://www.imdb.com/title/tt0489281/?ref_=fn_tt_tt_1",10911750,2.5e+07,6.5
"Legal Eagles ",116,"Ivan Reitman",425,"Brian Dennehy",954,"Debra Winger",568,"Roscoe Lee Browne",204,16,34,7900,2179,263,"judicial|judiciary|lawyer|murder|painting",3,"Color","Comedy|Crime|Romance",1986,"English","USA","PG",2.35,"http://www.imdb.com/title/tt0091396/?ref_=fn_tt_tt_1",49851591,4e+07,5.9
"The Work and the Glory II: American Zion ",100,"Sterling Van Wagenen",0,"Emily Podleski",1000,"Eric Johnson",373,"Brenda Strong",266,4,21,564,1942,19,"estrangement|missouri|mormon|mormon church|mormon temple",2,"Color","Drama|Western",2005,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0457530/?ref_=fn_tt_tt_1",2024854,6500000,6.6
"High Heels and Low Lifes ",86,"Mel Smith",302,"Minnie Driver",893,"Danny Dyer",798,"Mary McCormack",428,43,44,3080,3049,117,"attempted murder|blackmail|diver's watch|nurse|satire",2,"Color","Action|Comedy|Drama",2001,"English","UK","R",1.85,"http://www.imdb.com/title/tt0253126/?ref_=fn_tt_tt_1",226792,1e+07,6.2
